Drug Name,Drug ID
5-hydroxytryptophan/melatonin/pyridoxine,4479-0
A-Methapred,1607-1956
A-Phedrin,1966-7245
ACT Fluoride Rinse,1110-10594
AK-Con,1686-4304
AK-Dilate,1854-1201
AK-Poly-Bac,316-9982
AK-Taine,1952-5143
ATNAA,2398-11566
Abatuss DMX,827-16589
Abecma,4250-19721
Abelcet,194-1764
Abilify,233-109
Abilify Asimtufii,233-20337
Abilify Maintena,233-16107
Abilify MyCite,233-18715
Abraxane,1779-12882
Abreva,921-486
Abrilada,102-19275
Absorbine Athlete's Foot,2214-5323
Absorbine Jr Antifungal,2214-5333
Absorica,1403-15696
Absorica LD,1403-19270
Abstral,1074-15009
Acanya,355-13392
AccessPak for HIV PEP Basic,971-14446
AccessPak for HIV PEP Expanded with Kaletra,3222-14423
AccessPak for HIV PEP Expanded with Viracept,3223-14424
Accolate,2317-1533
Accretropin,2100-12401
Accrufer,4031-19173
Accupril,1980-1277
Accuretic,1266-1275
Accutane,1403-828
Aceon,1830-1181
Acephen,11-2690
Acetasol HC,92-2053
Aci-Jel,87-9020
Acid Gone,3391-15868
Acid Gone Extra Strength,3391-15673
Acid Jelly,87-25
Acidic Vaginal Jelly,87-9024
Acidophilus,1424-9047
Acidophilus Extra Strength,1424-9051
Acidophilus Probiotic Blend,1424-16591
Acidophilus with Pectin,1424-20543
Aciphex,1983-1279
Aciphex Sprinkle,1983-16161
Aclasta,2331-10723
Aclovate,111-1639
Acne-Clear,354-5266
Acnevir,2037-16338
ActHIB,1225-723
Actamin,11-2725
Actemra,3186-14316
Acthar,747-4054
Acticin,1831-1182
Actidose-Aqua,574-291
Actifed,1966-16245
Actifed Cold and Allergy,631-13484
Actimmune,1362-811
Actiq,1074-613
ActivICE,2767-19550
Activase,135-58
Activated Charcoal,574-4977
ActoPlus Met,1574-2185
ActoPlus Met XR,1574-13794
Actonel,2018-1303
Actonel with Calcium,472-11031
Actos,1874-1213
Acuflex,79-2356
Acular,1416-840
Acular LS,1416-1776
Acuvail,1416-13959
Aczone,782-11015
Adacel (Tdap),910-12288
Adalat CC,1717-1076
Adasuve,1494-16020
Adbry,4329-19919
Adcetris,3339-15410
Adcirca,2144-13840
Adderall,190-1645
Adderall XR,190-1644
Addyi,3675-17518
Adempas,3492-16353
Adenocard,105-35
Adenoscan,105-3182
Adipex-P,1851-4510
Adlarity,927-20005
Adlyxin,3760-18129
Admelog,1349-18742
AdreView,2953-13345
Adrenalin,989-4184
Adriamycin,938-503
Adrucil,1113-647
Adstiladrin,4420-20237
Aduhelm,4272-19764
Advair Diskus,1126-657
Advair HFA,1126-10720
Advanced Eye Relief Dry Eye,1740-20245
Advate,216-2408
Advil,1310-782
Advil Allergy Sinus,625-10830
Advil Children's,1310-2592
Advil Children's Allergy Sinus,625-10832
Advil Cold and Sinus,1312-6931
Advil Cold and Sinus Liqui-Gels,1312-6941
Advil Migraine,1310-2602
Advil PM,900-11132
Advil Sinus Congestion & Pain,3340-18454
Adynovate,216-17628
Adzenys XR-ODT,2543-17819
Adzynma,4561-20629
Afinitor,3126-13750
Afinitor Disperz,3126-15860
Afirmelle,1042-18288
Afluria,1337-12150
Afluria Preservative-Free Pediatric Quadrivalent,1337-19551
Afluria Preservative-Free Quadrivalent,1337-19552
Afluria Quadrivalent,1337-18164
Afrezza,1346-16905
Afrin,2390-14036
Afrin 4 Hour Extra Moisturizing,2529-12077
Afrin Allergy Sinus Nasal Spray,2390-18653
Afrin NoDrip Extra Moisturizing,2390-16057
Afrin NoDrip Original,2390-16055
Afrin NoDrip Severe Congestion,2390-16056
Afrin NoDrip Sinus,2390-16058
Afrin Original,2390-16053
Afrin Saline,2949-13295
Afrin Severe Congestion,2390-16052
Afstyla,216-18027
AfterPill,1461-18577
Aimovig,3911-18847
AirDuo Respiclick,1126-18357
Airsupra,4427-20271
Akeega,4527-20549
Akwa Tears,1740-9367
Akynzeo,3566-16902
Ala-Cort,2378-11912
Ala-Hist IR,3387-15659
Ala-Hist PE,3289-14998
Ala-Tet,2173-2655
Alahist CF,818-18777
Alahist D,4164-19488
Alahist DM,851-20681
Alavert,1486-897
Alavert D-12 Hour Allergy and Sinus,1487-9767
Alaway,1417-10656
Albalon,1686-4300
Albenza,107-36
Albuked,108-15705
Albuked 25,108-18044
Albuked 5,108-15606
Albuminar-25,108-5732
Albuminex,108-18974
Alburx,108-5735
Albutein,108-37
Alcaine,1952-2413
Alcon Tears,1740-20246
Alcortin A,3379-15636
Aldactazide,1268-1371
Aldactone,2105-1372
Aldara,1324-792
Aldex G,1208-7947
Aldomet,1603-3127
Aldurazyme,1437-10838
Alecensa,3722-17792
Alera,1295-5539
Alert,450-4500
Alesse,1042-1715
Aleve,1690-2475
Aleve Back and Muscle Pain,1690-20056
Aleve PM,3552-16859
Aleve-D Sinus & Cold,1691-14168
Aleve-D Sinus & Headache,1691-16860
AleveX,485-20544
Alferon N,1358-1669
Alimta,1809-1162
Alinia,1721-1081
Aliqopa,3864-18640
Alka-Mints,464-3797
Alka-Seltzer Anti-Gas,2065-4965
Alka-Seltzer Cool Action Heartburn Relief Gum,464-19861
Alka-Seltzer Hangover Relief,248-20565
Alka-Seltzer Heartburn ReliefChews,464-17573
Alka-Seltzer Plus Cold,42-7323
Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,3143-17585
